Timestamp,program,Gender,Age,Height,Weight.,Old_Salary,Expected_Salary,Organization,Live_parents,Expenses,Transportation,Transportation_Cost,Entertainment,Hand,Cellphone_Cost,Smoke,Footsize,Alcohol,Tattoo,Sleep,Social_Network,Homework,Work,Travel,Tuition,Coffee
2019/02/04 11:26:35 am GMT-8,HRMG,Female,22,177.8,110,1400,4000,3. Non-profit or Government Agency,No,700,1. Walk,0,100,0. Right-handed,68,No,11.12,0,Yes,8,10,10,0,Yes,No,0
2019/02/04 11:27:45 am GMT-8,HRMG,Female,24,175,63,2000,3750,2. Small Company,Yes,300,3. Drive,NA,150,0. Right-handed,60,No,9.5,0,Yes,8,7,20,0,Yes,Yes,2
2019/02/04 11:27:46 am GMT-8,HRMG,Male,24,182.88,100,2000,3500,2. Small Company,Yes,200,3. Drive,100,150,1. Left-handed,82,No,10.5,1,No,6,20,20,8,Yes,No,0
2019/02/04 11:29:06 am GMT-8,HRMG,Female,34,NA,61.3,2500,3500,1. Large Corporation,Yes,300,3. Drive,NA,400,0. Right-handed,70,No,7,0,Yes,78,14,20,0,Yes,No,1
2019/02/04 11:29:12 am GMT-8,HRMG,Female,24,160,54,0,3800,2. Small Company,Yes,500,3. Drive,300,100,0. Right-handed,90,No,8,3,No,67,6,11,0,Yes,Yes,1
2019/02/04 11:29:30 am GMT-8,HRMG,Female,24,164,65,2500,5000,2. Small Company,Yes,500,2. Public Transport,40,150,0. Right-handed,55,No,9.25,0,No,7,20,25,0,Yes,Yes,0
2019/02/04 11:29:38 am GMT-8,HRMG,Female,27,153,55,2300,3000,2. Small Company,No,400,3. Drive,NA,100,0. Right-handed,120,No,6,0,Yes,7,8,25,12,Yes,Yes,1
2019/02/04 11:31:56 am GMT-8,HRMG,Female,27,NA,NA,0,3500,2. Small Company,Yes,100,2. Public Transport,NA,NA,0. Right-handed,60,No,NA,1,No,5,2,28,NA,Yes,No,1
2019/02/04 11:33:25 am GMT-8,HRMG,Male,NA,NA,NA,NA,NA,1. Large Corporation,No,NA,3. Drive,NA,NA,2. Ambidextrous,NA,No,NA,NA,Yes,NA,NA,NA,NA,Yes,No,1
2019/02/04 11:34:05 am GMT-8,HRMG,Male,40,185,90,2000,4000,1. Large Corporation,No,3000,2. Public Transport,50,200,0. Right-handed,80,No,13,0,Yes,7,3,14,0,Yes,No,3
2019/02/04 11:35:08 am GMT-8,HRMG,Male,25,165,70.3,1300,1600,1. Large Corporation,Yes,300,3. Drive,50,100,0. Right-handed,45,No,8.5,0,No,7,4,12,3.5,Yes,Yes,0.25
2019/02/04 11:36:01 am GMT-8,HRMG,Female,25,163,52,NA,NA,1. Large Corporation,Yes,500,3. Drive,20,150,0. Right-handed,45,No,9.5,0,No,6,20,20,8,Yes,No,2
2019/02/04 11:39:16 am GMT-8,HRMG,Female,38,NA,60,3000,3500,3. Non-profit or Government Agency,No,NA,2. Public Transport,41,NA,0. Right-handed,56,Yes,9,0,No,5,14,NA,0,Yes,No,0
2019/02/04 11:40:00 am GMT-8,HRMG,Female,24,162.56,NA,1920,NA,3. Non-profit or Government Agency,Yes,400,3. Drive,300,100,0. Right-handed,50,Yes,9.75,2,Yes,6,19,30,20,Yes,No,1
2019/02/04 11:42:54 am GMT-8,HRMG,Female,22,155.45,50,1600,2500,1. Large Corporation,No,500,2. Public Transport,0,30,0. Right-handed,95,Yes,9.5,0,Yes,10,5,40,0,No,No,3
2019/02/04 11:44:47 am GMT-8,HRMG,Female,24,165,58,0,3000,1. Large Corporation,Yes,1000,3. Drive,150,60,0. Right-handed,0,No,14,0,No,7,25,40,8,Yes,No,1
2019/02/04 11:46:15 am GMT-8,HRMG,Male,23,179,86,2500,3200,2. Small Company,Yes,400,3. Drive,NA,250,0. Right-handed,60,No,10.25,5,No,7,2,24,8,No,Yes,3
2019/02/04 11:49:00 am GMT-8,HRMG,Female,22,158,53,900,4000,4. Other,Yes,350,3. Drive,200,100,0. Right-handed,0,No,9.25,3,No,6,14,30,6,No,No,1
2019/02/04 11:49:12 am GMT-8,HRMG,Female,25,150,50,3500,4000,1. Large Corporation,Yes,500,2. Public Transport,100,140,0. Right-handed,53.76,Yes,9,3,Yes,5,5,30,0,Yes,Yes,0
2019/02/04 2:31:07 pm GMT-8,HRMG,Male,25,178,75,4200,4000,1. Large Corporation,No,1000,1. Walk,0,200,0. Right-handed,0,No,10,3,No,6,13,NA,0,Yes,Yes,4
2019/02/04 2:38:05 pm GMT-8,HRMG,Female,30,165,99,3000,5000,2. Small Company,No,800,3. Drive,200,200,0. Right-handed,120,No,10.2,2,Yes,6,15,40,12,Yes,Yes,2
2019/02/04 2:40:15 pm GMT-8,HRMG,Female,25,170,114,2600,4000,2. Small Company,No,1000,3. Drive,200,400,0. Right-handed,120,Yes,9,NA,Yes,7.5,14,24,NA,Yes,No,1
2019/02/04 2:41:51 pm GMT-8,HRMG,Male,32,176,170,0,3000,1. Large Corporation,Yes,800,2. Public Transport,0,10,0. Right-handed,60,No,11,1,No,5,3,5,14,Yes,No,2
2019/02/04 2:41:57 pm GMT-8,HRMG,Female,24,NA,108,2800,4000,1. Large Corporation,No,1800,2. Public Transport,40,100,0. Right-handed,70,No,6.5,0,No,6.5,12,25,3,Yes,No,1
2019/02/04 2:44:01 pm GMT-8,HRMG,Female,22,170.18,506,0,0,1. Large Corporation,Yes,600,3. Drive,200,10,0. Right-handed,30,No,9.87525,1,Yes,6,10,8,0,No,No,NA
2019/02/04 2:44:50 pm GMT-8,HRMG,Female,22,174,51,800,4000,1. Large Corporation,Yes,300,2. Public Transport,0,200,0. Right-handed,125,Yes,10,3,No,8,14,20,12,Yes,No,1
2019/02/04 2:45:51 pm GMT-8,HRMG,Female,23,163,49,1700,3000,3. Non-profit or Government Agency,Yes,200,3. Drive,120,100,0. Right-handed,65,No,9,0,Yes,6,2,10,4,Yes,No,1
2019/02/04 2:47:12 pm GMT-8,HRMG,Female,24,160,66,1600,3750,2. Small Company,Yes,400,3. Drive,NA,100,0. Right-handed,100,No,9.5,0,Yes,6.5,3,12,0,Yes,No,2
2019/02/04 2:47:32 pm GMT-8,HRMG,Female,23,157,66,2000,3750,1. Large Corporation,Yes,400,4. Carpool,0,50,0. Right-handed,55,No,9.5,0,Yes,6.5,NA,30,0,Yes,Yes,1
2019/02/04 2:49:25 pm GMT-8,HRMG,Male,29,170,81,2400,4000,2. Small Company,No,1000,2. Public Transport,40,100,0. Right-handed,95,No,10.56,4,No,7,1.5,40,10,Yes,Yes,1
2019/02/04 2:49:29 pm GMT-8,HRMG,Female,35,157,64,3900,4500,3. Non-profit or Government Agency,No,300,3. Drive,60,80,0. Right-handed,50,Yes,9,3,No,7,1,36,7,Yes,No,0
2019/02/04 2:58:02 pm GMT-8,HRMG,Male,26,170,155,1200,NA,2. Small Company,No,900,1. Walk,0,50,0. Right-handed,68,No,7,2,No,6,20,24,0,Yes,Yes,1
2019/02/05 6:58:22 pm GMT-8,BMGT,Female,21,NA,58,0,4000,1. Large Corporation,Yes,2000,3. Drive,NA,NA,1. Left-handed,65,No,5,NA,No,8,NA,8,8,Yes,No,NA
2019/02/05 7:11:28 pm GMT-8,BMGT,Female,24,161,52.1,0,4000,1. Large Corporation,No,1000,3. Drive,300,500,0. Right-handed,60,No,9.06,0,No,8,14,7,20,Yes,Yes,0
2019/02/05 7:22:05 pm GMT-8,BMGT,Other,22,165,109,0,2500,1. Large Corporation,No,1000,2. Public Transport,0,30,0. Right-handed,50,Yes,9.25,0,Yes,9,20,30,0,Yes,No,3
2019/02/06 3:29:26 pm GMT-8,BMGT,Female,23,168,53,0,0,2. Small Company,No,1000,2. Public Transport,50,300,0. Right-handed,80,No,7,0,No,8,20,8,0,Yes,No,0
2019/02/06 8:15:54 pm GMT-8,BMGT,Male,21,181,70,2100,6666,1. Large Corporation,No,2100,2. Public Transport,30,30,0. Right-handed,50,No,NA,1,No,8,2,40,20,Yes,No,1
2019/02/06 10:23:29 pm GMT-8,BMGT,Male,23,180,88,0,3000,2. Small Company,No,1500,2. Public Transport,0,200,1. Left-handed,70,No,10,0,Yes,7,NA,25,0,No,Yes,0
2019/02/08 4:51:12 am GMT-8,BMGT,Female,35,160,50,3000,3000,3. Non-profit or Government Agency,No,1500,2. Public Transport,130,200,0. Right-handed,60,No,NA,NA,No,7,1,10,20,Yes,No,2
2019/02/08 8:17:24 am GMT-8,BMGT,Male,21,183,85,4400,6500,2. Small Company,Yes,500,3. Drive,NA,500,0. Right-handed,120,No,12,10,Yes,7,1,30,30,Yes,Yes,2
2019/02/08 8:23:35 am GMT-8,BMGT,Male,30,178,75,3500,4500,1. Large Corporation,No,2000,3. Drive,250,80,0. Right-handed,77,No,10,3,No,7,1,15,0,Yes,Yes,2
2019/02/08 8:25:02 am GMT-8,BMGT,Other,23,195,110,5200,6000,4. Other,Yes,400,3. Drive,100,50,0. Right-handed,85,No,12.2,0,Yes,5,2,20,8,No,No,0.5
2019/02/08 8:36:24 am GMT-8,BMGT,Male,26,175,67,0,NA,4. Other,Yes,200,3. Drive,100,20,0. Right-handed,74,No,NA,0,No,7,1,35,0,Yes,No,1
2019/02/08 8:37:16 am GMT-8,BMGT,Male,23,NA,111,3200,NA,1. Large Corporation,Yes,400,3. Drive,300,200,0. Right-handed,50,Yes,11,10,No,4,5,25,0,Yes,No,2
2019/02/08 8:38:08 am GMT-8,BMGT,Female,10,NA,61,2400,5000,2. Small Company,No,0,5. Other,NA,0,0. Right-handed,0,No,4,0,No,7,10,5,0,No,No,0
2019/02/08 8:45:15 am GMT-8,BMGT,Female,20,165,54,2500,4,1. Large Corporation,Yes,400,2. Public Transport,40,150,0. Right-handed,50,No,NA,0,No,5,NA,15,16,Yes,Yes,1
2019/02/08 9:14:58 am GMT-8,BMGT,Male,20,180,75,3800,5000,1. Large Corporation,Yes,350,3. Drive,120,350,0. Right-handed,105,No,NA,0,No,5,6,28,24,Yes,No,0.5
2019/02/08 10:10:53 am GMT-8,BMGT,Female,20,154,120,0,NA,1. Large Corporation,Yes,50,2. Public Transport,50,20,0. Right-handed,50,No,9,0,No,7,15,10,0,Yes,No,1
2019/02/08 10:18:10 am GMT-8,BMGT,Male,19,175,63,0,NA,1. Large Corporation,Yes,100,2. Public Transport,50,50,0. Right-handed,100,No,10,0,No,8,10,5,0,Yes,No,0
2019/02/08 10:30:28 am GMT-8,BMGT,Female,23,175,70,3300,4000,1. Large Corporation,Yes,1500,3. Drive,50,20,0. Right-handed,40,No,10.4,0,No,7,5,15,0,Yes,No,0
2019/02/08 10:33:40 am GMT-8,BMGT,Male,22,178,77,300,5000,1. Large Corporation,No,2000,2. Public Transport,50,50,2. Ambidextrous,50,No,25,0,No,8,NA,4,8,Yes,No,1
2019/02/08 10:34:23 am GMT-8,BMGT,Male,29,185,98,0,NA,2. Small Company,No,2200,3. Drive,150,130,0. Right-handed,70,No,NA,0,No,6,6,5,10,Yes,Yes,1
2019/02/08 10:37:20 am GMT-8,BMGT,Male,23,176,83,2500,5000,3. Non-profit or Government Agency,No,2000,3. Drive,NA,200,2. Ambidextrous,120,Yes,10.5,0,No,5,12,30,8,Yes,No,2
2019/02/08 10:38:29 am GMT-8,BMGT,Female,30,158,56,2600,3200,2. Small Company,Yes,2000,2. Public Transport,40,600,0. Right-handed,NA,No,14,4,Yes,6.5,10,14,3,Yes,Yes,0
2019/02/08 10:40:15 am GMT-8,BMGT,Other,19,175,75,2500,6000,1. Large Corporation,Yes,500,2. Public Transport,40,100,0. Right-handed,100,No,10.6,2,Yes,5,3,1,60,Yes,Yes,NA
2019/02/08 10:40:39 am GMT-8,BMGT,Female,24,165,52,3750,5000,1. Large Corporation,Yes,200,3. Drive,NA,210,0. Right-handed,85,No,10.25,0,No,8,3,25,0,Yes,No,0
2019/02/08 10:42:24 am GMT-8,BMGT,Male,46,NA,90,NA,5000,1. Large Corporation,No,3500,2. Public Transport,0,500,0. Right-handed,NA,Yes,10.2,3,No,7,0,10,0,Yes,Yes,3
2019/02/08 10:42:25 am GMT-8,BMGT,Female,28,158,57,2800,4000,1. Large Corporation,Yes,500,2. Public Transport,0,100,0. Right-handed,75,No,9,1,No,7,4,25,0,Yes,Yes,1
2019/02/08 10:45:55 am GMT-8,BMGT,Male,20,182,80,0,3750,2. Small Company,Yes,300,3. Drive,100,100,0. Right-handed,50,No,10.35,8,No,6,12,15,0,Yes,No,2
2019/02/08 10:48:56 am GMT-8,BMGT,Male,24,180,81,2560,3520,2. Small Company,No,900,2. Public Transport,80,400,0. Right-handed,80,No,10.5,NA,Yes,5.5,NA,12,10,Yes,No,NA
2019/02/08 10:50:48 am GMT-8,BMGT,Female,23,170,69,2500,4500,4. Other,Yes,1500,3. Drive,200,100,2. Ambidextrous,90,No,9.6875,1,No,6,18,NA,6,Yes,Yes,2
2019/02/08 10:51:40 am GMT-8,BMGT,Male,26,190,77,3000,6200,1. Large Corporation,Yes,450,3. Drive,160,40,0. Right-handed,60,Yes,11.25,8,No,6,2,7,6.5,Yes,Yes,4
2019/02/08 10:52:34 am GMT-8,BMGT,Female,19,170.6,70.4,3800,4750,1. Large Corporation,Yes,NA,3. Drive,NA,NA,0. Right-handed,0,No,9.8,3,Yes,8,3,30,NA,Yes,Yes,1
2019/02/08 10:54:38 am GMT-8,BMGT,Male,19,188,69,2000,3500,2. Small Company,Yes,0,3. Drive,150,150,0. Right-handed,55,No,10.6,4,No,7,10,20,5,Yes,No,1
2019/02/08 12:16:58 pm GMT-8,BMGT,Female,19,168,62.3,0,3200,1. Large Corporation,No,1100,1. Walk,0,120,0. Right-handed,45,Yes,7.5,3,Yes,6,NA,NA,0,Yes,Yes,0
2019/02/08 12:39:22 pm GMT-8,BMGT,Female,26,165,48,0,3000,1. Large Corporation,No,800,2. Public Transport,100,500,0. Right-handed,48,Yes,NA,NA,Yes,8,22,NA,0,Yes,No,0
2019/02/11 11:36:09 am GMT-8,HRMG,Female,27,175,74,3600,4500,4. Other,No,NA,5. Other,10,10,0. Right-handed,85,No,NA,6,No,8,3,6,0,Yes,No,2
2019/02/14 8:22:04 pm GMT-8,BMGT,Female,24,162,99,0,5000,1. Large Corporation,No,NA,3. Drive,NA,NA,0. Right-handed,140,Yes,40,0,No,7,3,5,0,Yes,No,0
2019/02/22 9:07:22 am GMT-8,BMGT,Male,20,180,70,2500,4500,3. Non-profit or Government Agency,Yes,0,3. Drive,100,100,0. Right-handed,80,No,10.5,1,No,7,4,12,0,Yes,No,1
